"filename", "language", "JSON", "XML", "Markdown", "JavaScript", "JavaScript JSX", "CSS", "HTML", "comment", "blank", "total"
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/frontend/src/componentes/Spinner.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 4, 17
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/frontend/src/componentes/context/MyContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/frontend/src/config/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 1, 2, 4
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/frontend/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/frontend/src/main.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/frontend/src/pages/Admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/frontend/src/pages/Carrito.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/frontend/src/pages/CerrarSesion.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/frontend/src/pages/CheckOut.jsx", "JavaScript JSX", 0, 0, 0, 0, 164, 0, 0, 5, 10, 179
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/frontend/src/pages/DetalleLibro.jsx", "JavaScript JSX", 0, 0, 0, 0, 75, 0, 0, 0, 8, 83
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/frontend/src/pages/Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/frontend/src/pages/Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 149, 0, 0, 8, 16, 173
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/frontend/src/pages/MyAccount.jsx", "JavaScript JSX", 0, 0, 0, 0, 106, 0, 0, 9, 6, 121
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/frontend/src/pages/Ordenes.jsx", "JavaScript JSX", 0, 0, 0, 0, 158, 0, 0, 15, 11, 184
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/frontend/src/pages/Pago.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/frontend/src/pages/Registro.jsx", "JavaScript JSX", 0, 0, 0, 0, 221, 0, 0, 15, 14, 250
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/frontend/vite.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 1, 2, 8
"Total", "-", 4566, 2, 42, 64, 2644, 455, 29, 134, 267, 8203
